uk,vok,rk_1,rk_2
0,0,0,0
0.00686029612063634,-1.08693786858261,5e-05,2.82111464870106
0.0125374555750341,-2.63259875576641,0.0001,5.6415332295758
0.0179557521120427,-3.31978324448538,0.00015,8.46055984654222
0.0235472515615373,-2.31705450794243,0.0002,11.2774989469646
0.0295172396108295,0.587600146617911,0.00025,14.0916554932706
0.0359367795799731,5.03363598327522,0.0003,16.9023351344416
0.0428272373939887,10.2593820408048,0.00035,19.7088443773333
0.0501497221722497,15.3894488600434,0.0004,22.5104907577847
0.057798433054149,19.725008633051,0.00045,25.3065830114732
0.0656471599063583,22.9237817739644,0.0005,28.0964312444742
0.0735471300067163,25.06727585399,0.00055,30.8793471034816
0.0813613297586646,26.5792156692779,0.0006,33.6546439456488
0.0890169199391684,28.0308141994373,0.00065,36.4216370080076
0.0964784746113139,29.9496613953179,0.0007,39.1796435764233
0.103777422506246,32.6409575156143,0.00075,41.9279831540442
0.110983827152991,36.1135939643657,0.0008,44.6659776292037
0.118156985634465,40.1229870663331,0.00085,47.3929514427345
0.12535791733284,44.2663664566354,0.0009,50.1082317546528
0.13261266553559,48.1361085238565,0.00095,52.8111486101713
0.13989375890589,51.4618810375095,0.001,55.5010351050003
0.147167006142658,54.1676819974875,0.00105,58.177227549897
0.154381497330017,56.3805082961559,0.0011,60.8390656344203
0.161482912422637,58.3704729589778,0.00115,63.4858925898527
0.168458142766532,60.4331567795476,0.0012,66.1170553512485
0.175297289015818,62.8070037652524,0.00125,68.731904718567
0.182030069731206,65.5889305927719,0.0013,71.3297955168538
0.188699835793735,68.7209836759106,0.00135,73.9100867554275
0.195329462356828,72.0380442571979,0.0014,76.4721417860346
0.201948412117449,75.319690863361,0.00145,79.0153284599333
0.208560525767972,78.3752702641464,0.0015,81.5390192838662
0.215143641096124,81.1057575583409,0.00155,84.0425915748853
0.221671243252278,83.5199684840779,0.0016,86.5254276139897
0.228121645119852,85.7164756111586,0.00165,88.986914798538
0.234468541697184,87.8487459522869,0.0017,91.4264457933996
0.240701885137247,90.0647845197044,0.00175,93.8434186808049
0.246842617312009,92.4501665674542,0.0018,96.23723710886
0.252892101437302,95.0267652415362,0.00185,98.6073104386872
0.258873663261403,97.7374799767034,0.0019,100.953053890156
0.264801488392656,100.48018868685,0.00195,103.273888686171
0.270688256158989,103.141258265389,0.002,105.569242195473
0.27652199743855,105.64317790869,0.00205,107.83854807393
0.282290323446148,107.958715539175,0.0021,110.081246404272
0.28798719288891,110.109344954915,0.00215,112.296783834245
0.293591662660585,112.163210893302,0.0022,114.48461371314
0.299094186689244,114.201216487649,0.00225,116.644196226671
0.30449581986505,116.288120471952,0.0023,118.774998530168
0.309814013751827,118.448078443583,0.00235,120.876494880046
0.315043015849533,120.678189788285,0.0024,122.948166763526
0.320189983952144,122.940833102028,0.00245,124.98950302657
0.325269772461679,125.175959459824,0.0025,127
0.330275722796166,127.334348076559,0.00255,128.979161623772
0.335205775427635,129.384132291565,0.0026,130.92649956937
0.340051868475065,131.322123348975,0.00265,132.841533360295
0.344814456614142,133.16557709513,0.0027,134.723790490613
0.349475520476577,134.956908578346,0.00275,136.572806541544
0.354035874619218,136.734685348402,0.0028,138.388125296042
0.35849992443141,138.524026378241,0.00285,140.169298851371
0.362865091984254,140.33540632251,0.0029,141.915887729605
0.367144508246646,142.152998225183,0.00295,143.627460986076
0.37132973447164,143.957044943255,0.003,145.303596315692
0.375427011888871,145.717777054524,0.00305,146.943880157141
0.379434406845096,147.412134767784,0.0031,148.547907794931
0.383352440581955,149.02677852743,0.00315,150.115283459241
0.387180292991296,150.561965786341,0.0032,151.645620423582
0.390905326521224,152.036430551286,0.00325,153.138541100205
0.394526017275005,153.471478913739,0.0033,154.593677133273
0.39804136994708,154.886078792479,0.00335,156.010669489743
0.401453437430426,156.289950083137,0.0034,157.389168547954
0.404774370132852,157.67649594483,0.00345,158.728834183891
0.407990924294896,159.042697615369,0.0035,160.029335855103
0.411105566578655,160.376157530864,0.00355,161.290352682263
0.414121425336891,161.661887643417,0.0036,162.511573528339
0.417036008217512,162.890176605888,0.00365,163.692697075359
0.419849416896298,164.056295218151,0.0037,164.833431898762
0.422560307068093,165.162518827439,0.00375,165.9334965393
0.425171067966936,166.214281422247,0.0038,166.992619572483
0.427670899845843,167.226396185754,0.00385,168.01053967555
0.430061751065622,168.208144090835,0.0039,168.987005691949
0.432342781959644,169.164915813156,0.00395,169.921776693299
0.434517096831371,170.094321103241,0.004,170.814622038845
0.436586921231772,170.988873669181,0.00405,171.665321432357
0.438550402142319,171.840851804911,0.0041,172.473664976489
0.440408482485822,172.642200520539,0.00415,173.239453224566
0.442166446100501,173.384849097747,0.0042,173.962497229798
0.443813659157303,174.072854704086,0.00425,174.642618591895
0.445350787018732,174.710665034857,0.0043,175.279649501089
0.446775341698743,175.305474116006,0.00435,175.873432779533
0.448088464953237,175.862215642813,0.0044,176.42382192009
0.449291125119395,176.383095094893,0.00445,176.930681122474
0.450384123324717,176.867313305245,0.0045,177.393885326762
0.451367998902668,177.311735519268,0.00455,177.813320244248
0.452242939783169,177.712191575588,0.0046,178.188882385641
0.453008764823288,178.064925540432,0.00465,178.520479086602
0.453664997750238,178.367723155309,0.0047,178.808028530609
0.454211013173321,178.620404182249,0.00475,179.051459769137
0.454646211231257,178.8246047662,0.0048,179.250712739172
0.45497017063299,178.983008072806,0.00485,179.405738278025
0.455182739197774,179.098337019469,0.0049,179.516498135463
0.455284042643179,179.172460527323,0.00495,179.582964983149
0.455274418725566,179.205885981299,0.005,179.605122421383
